model,split,n_samples,n_real,n_fake,accuracy,f1_fake,auc_fake,eer
resnet,overall,799,399,400,0.7784730913642053,0.7177033492822966,0.9817919799498747,0.06382832080200498
resnet,heartmula,200,100,100,0.69,0.5507246376811594,0.9865999999999999,0.04500000000000002
resnet,songgeneration2,200,100,100,0.64,0.4375,0.9677,0.08499999999999999
resnet,diffrhythm2,200,100,100,0.905,0.8950276243093923,0.9919,0.04000000000000002
resnet,songbloom,200,100,100,0.89,0.8764044943820225,0.9964,0.030000000000000013
structtture,overall,799,399,400,0.9148936170212766,0.9112271540469974,0.9785244360902257,0.07759711779448622
structtture,heartmula,200,100,100,0.95,0.9479166666666666,0.9881,0.04000000000000002
structtture,songgeneration2,200,100,100,0.885,0.8715083798882681,0.972,0.07999999999999999
structtture,diffrhythm2,200,100,100,0.97,0.9693877551020408,0.9967,0.03000000000000002
structtture,songbloom,200,100,100,0.92,0.9139784946236559,0.9834999999999999,0.06999999999999998
spectttra-alpha120,overall,799,399,400,0.5244055068836045,0.09523809523809523,0.7915068922305765,0.27534147869674186
spectttra-alpha120,heartmula,200,100,100,0.51,0.0392156862745098,0.7805500000000001,0.29000000000000004
spectttra-alpha120,songgeneration2,200,100,100,0.55,0.18181818181818182,0.8808,0.18999999999999997
spectttra-alpha120,diffrhythm2,200,100,100,0.54,0.14814814814814814,0.85035,0.21499999999999997
spectttra-alpha120,songbloom,200,100,100,0.5,0.0,0.7300500000000001,0.35
